sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,is_violent_recid,type_of_assessment,decile_score.1,score_text,v_type_of_assessment,v_decile_score,v_score_text,start,end,event,two_year_recid
Male,69,Greater than 45,Other,0,1,0,0,0,-1.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,327,0,0
Male,34,25 - 45,African-American,0,3,0,0,0,-1.0,F,1,1,Risk of Recidivism,3,Low,Risk of Violence,1,Low,9,159,1,1
Male,24,Less than 25,African-American,0,4,0,1,4,-1.0,F,1,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,0,63,0,1
Male,44,25 - 45,Other,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,1,853,0,0
Male,41,25 - 45,Caucasian,0,6,0,0,14,-1.0,F,1,0,Risk of Recidivism,6,Medium,Risk of Violence,2,Low,5,40,1,1
Male,43,25 - 45,Other,0,4,0,0,3,-1.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,0,265,0,0
Female,39,25 - 45,Caucasian,0,1,0,0,0,-1.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,2,747,0,0
Male,21,Less than 25,Caucasian,0,3,0,0,1,428.0,F,1,1,Risk of Recidivism,3,Low,Risk of Violence,5,Medium,0,428,1,1
Male,27,25 - 45,Caucasian,0,4,0,0,0,-1.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,4,Low,0,857,0,0
Male,23,Less than 25,African-American,0,6,0,0,3,0.0,M,1,0,Risk of Recidivism,6,Medium,Risk of Violence,4,Low,4,128,1,1
Female,37,25 - 45,Caucasian,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,1,1186,0,0
Male,41,25 - 45,African-American,0,4,0,0,0,-1.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,2,Low,0,905,0,0
Female,47,Greater than 45,Caucasian,0,1,0,0,1,-20.0,F,1,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,216,1,1
Male,31,25 - 45,African-American,0,3,0,0,7,22.0,F,1,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,0,22,1,1
Male,37,25 - 45,Hispanic,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,739,0,0
Male,25,25 - 45,African-American,0,10,0,0,3,-1.0,F,0,0,Risk of Recidivism,10,High,Risk of Violence,9,High,0,463,0,0
Male,31,25 - 45,Caucasian,0,5,0,0,6,-1.0,F,1,1,Risk of Recidivism,5,Medium,Risk of Violence,4,Low,0,241,1,1
Male,31,25 - 45,Caucasian,0,3,0,0,5,-1.0,F,1,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,0,163,1,1
Male,64,Greater than 45,African-American,0,6,0,0,13,-1.0,F,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,0,1,1,1
Male,21,Less than 25,African-American,0,9,0,0,1,-1.0,F,1,0,Risk of Recidivism,9,High,Risk of Violence,9,High,2,30,1,1
Male,27,25 - 45,Caucasian,0,2,0,0,0,0.0,M,1,0,Risk of Recidivism,2,Low,Risk of Violence,3,Low,0,81,1,1
Female,21,Less than 25,Caucasian,0,4,0,0,0,-2.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,5,Medium,0,861,0,0
Male,24,Less than 25,Hispanic,0,4,0,0,1,0.0,F,1,0,Risk of Recidivism,4,Low,Risk of Violence,5,Medium,1,411,1,1
Male,43,25 - 45,Caucasian,0,1,0,0,1,-1.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,2,Low,0,1162,0,0
Male,32,25 - 45,Other,0,3,0,0,0,-1.0,M,0,0,Risk of Recidivism,3,Low,Risk of Violence,4,Low,1,1056,0,0
Male,27,25 - 45,African-American,0,3,0,0,8,-1.0,F,1,1,Risk of Recidivism,3,Low,Risk of Violence,3,Low,16,116,0,1
Female,36,25 - 45,Caucasian,0,3,0,0,3,53.0,F,0,0,Risk of Recidivism,3,Low,Risk of Violence,1,Low,0,53,0,0
Male,26,25 - 45,African-American,0,7,0,1,5,-1.0,F,1,0,Risk of Recidivism,7,Medium,Risk of Violence,7,Medium,0,391,0,1
Male,33,25 - 45,African-American,0,10,0,0,0,0.0,F,1,1,Risk of Recidivism,10,High,Risk of Violence,6,Medium,38,215,0,1
Male,30,25 - 45,Caucasian,0,9,0,0,9,0.0,F,1,0,Risk of Recidivism,9,High,Risk of Violence,10,High,44,162,1,1
Male,32,25 - 45,African-American,0,8,0,0,4,-1.0,F,1,0,Risk of Recidivism,8,High,Risk of Violence,3,Low,0,6,1,1
Male,55,Greater than 45,Caucasian,0,1,0,0,0,-1.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,1,823,0,0
Male,49,Greater than 45,Other,0,3,0,0,7,-1.0,F,1,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,3,502,0,1
Male,26,25 - 45,Caucasian,0,8,0,2,6,81.0,M,0,0,Risk of Recidivism,8,High,Risk of Violence,8,High,0,81,0,0
Female,33,25 - 45,Caucasian,0,5,0,0,4,-1.0,M,1,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,10,223,1,1
Male,24,Less than 25,Caucasian,0,2,0,0,1,0.0,M,1,0,Risk of Recidivism,2,Low,Risk of Violence,3,Low,1,240,1,1
Male,34,25 - 45,African-American,2,9,1,3,21,0.0,F,1,0,Risk of Recidivism,9,High,Risk of Violence,6,Medium,33,514,1,1
Male,29,25 - 45,Caucasian,0,2,0,0,0,0.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,0,1171,0,0
Female,21,Less than 25,African-American,0,8,0,0,2,-1.0,F,0,0,Risk of Recidivism,8,High,Risk of Violence,8,High,79,524,0,0
Male,51,Greater than 45,African-American,0,1,0,0,2,-1.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,1128,0,0
Male,29,25 - 45,Caucasian,0,2,0,0,2,-1.0,M,1,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,0,72,1,1
Female,51,Greater than 45,African-American,0,2,0,0,7,-1.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,1,529,0,0
Male,29,25 - 45,African-American,0,7,0,0,0,0.0,F,1,0,Risk of Recidivism,7,Medium,Risk of Violence,2,Low,0,61,1,1
Male,25,25 - 45,Caucasian,0,10,0,0,9,-1.0,M,1,1,Risk of Recidivism,10,High,Risk of Violence,9,High,6,8,1,1
Male,35,25 - 45,African-American,1,8,0,4,13,-1.0,F,1,1,Risk of Recidivism,8,High,Risk of Violence,3,Low,0,9,1,1
Male,49,Greater than 45,Caucasian,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,973,0,0
Male,34,25 - 45,African-American,0,3,0,0,4,-59.0,M,1,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,0,257,1,1
Male,29,25 - 45,African-American,0,4,0,0,0,0.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,0,1073,0,0
Male,29,25 - 45,Caucasian,0,2,0,0,1,-24.0,F,1,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,0,441,0,1
Female,28,25 - 45,Other,0,2,0,0,0,-1.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,0,865,0,0
Male,48,Greater than 45,Caucasian,0,6,0,0,20,302.0,F,1,0,Risk of Recidivism,6,Medium,Risk of Violence,4,Low,0,275,1,1
Female,63,Greater than 45,Hispanic,0,1,0,0,1,-219.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,800,0,0
Male,31,25 - 45,African-American,0,5,0,1,15,-1.0,F,1,0,Risk of Recidivism,5,Medium,Risk of Violence,7,Medium,135,1077,1,0
Male,24,Less than 25,African-American,0,4,0,0,2,-1.0,F,1,0,Risk of Recidivism,4,Low,Risk of Violence,4,Low,1,575,1,1
Male,30,25 - 45,Hispanic,0,7,0,0,0,0.0,M,0,0,Risk of Recidivism,7,Medium,Risk of Violence,3,Low,23,1167,0,0
Male,49,Greater than 45,African-American,0,1,0,0,4,-1.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,948,0,0
Male,53,Greater than 45,Caucasian,0,5,0,0,8,-13.0,F,0,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,0,1039,0,0
Male,35,25 - 45,African-American,0,3,0,0,5,-1.0,F,0,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,0,1145,0,0
Male,63,Greater than 45,African-American,0,7,0,0,10,-38.0,M,1,0,Risk of Recidivism,7,Medium,Risk of Violence,5,Medium,0,44,1,1
Male,27,25 - 45,African-American,1,10,1,2,15,-1.0,F,1,0,Risk of Recidivism,10,High,Risk of Violence,9,High,0,44,1,1
Male,38,25 - 45,Caucasian,0,2,0,0,4,-1.0,M,1,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,1,272,1,1
