workclass,education,education-num,marital-status,occupation,relationship,capital-gain,capital-loss,hours-per-week,native-country,age
State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,2174,0,40,United-States,39
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,13,United-States,50
Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,0,0,40,United-States,38
Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,53
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,0,0,40,Cuba,28
Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,0,0,40,United-States,37
Private,9th,5,Married-spouse-absent,Other-service,Not-in-family,0,0,16,Jamaica,49
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,45,United-States,52
Private,Masters,14,Never-married,Prof-specialty,Not-in-family,14084,0,50,United-States,31
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,5178,0,40,United-States,42
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,0,80,United-States,37
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,India,30
Private,Bachelors,13,Never-married,Adm-clerical,Own-child,0,0,30,United-States,23
Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,0,0,50,United-States,32
Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,0,0,45,Mexico,34
Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,0,0,35,United-States,25
Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,0,0,40,United-States,32
Private,11th,7,Married-civ-spouse,Sales,Husband,0,0,50,United-States,38
Self-emp-not-inc,Masters,14,Divorced,Exec-managerial,Unmarried,0,0,45,United-States,43
Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,0,0,60,United-States,40
Private,HS-grad,9,Separated,Other-service,Unmarried,0,0,20,United-States,54
Federal-gov,9th,5,Married-civ-spouse,Farming-fishing,Husband,0,0,40,United-States,35
Private,11th,7,Married-civ-spouse,Transport-moving,Husband,0,2042,40,United-States,43
Private,HS-grad,9,Divorced,Tech-support,Unmarried,0,0,40,United-States,59
Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,0,0,40,United-States,56
Private,HS-grad,9,Never-married,Craft-repair,Own-child,0,0,40,United-States,19
Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,0,0,80,United-States,39
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,49
Local-gov,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,0,0,52,United-States,23
Private,Some-college,10,Never-married,Sales,Own-child,0,0,44,United-States,20
Private,Bachelors,13,Divorced,Exec-managerial,Own-child,0,1408,40,United-States,45
Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,0,0,40,United-States,30
State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,0,0,15,United-States,22
Private,11th,7,Never-married,Machine-op-inspct,Unmarried,0,0,40,Puerto-Rico,48
Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,0,0,40,United-States,21
Private,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,0,0,25,United-States,19
Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,48
Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,0,0,43,United-States,31
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,53
Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,0,0,50,United-States,24
Private,HS-grad,9,Separated,Adm-clerical,Unmarried,0,0,40,United-States,49
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,0,0,35,United-States,25
Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,57
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,0,0,38,United-States,53
Private,Masters,14,Divorced,Exec-managerial,Unmarried,0,0,40,United-States,44
State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,41
Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,0,0,43,United-States,29
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,0,0,40,United-States,25
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,0,1902,60,Honduras,47
Federal-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,0,0,55,United-States,50
Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,0,0,60,United-States,47
Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,0,0,40,United-States,43
Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,Mexico,46
Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,0,0,40,Puerto-Rico,35
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,0,0,48,United-States,41
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,5013,0,40,United-States,30
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,2407,0,40,United-States,30
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,40,United-States,48
Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,0,0,45,United-States,42
Private,Some-college,10,Divorced,Tech-support,Not-in-family,0,0,58,United-States,29
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,36
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,28
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,0,0,40,United-States,53
Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,0,50,United-States,49
Private,Some-college,10,Never-married,Prof-specialty,Own-child,0,0,32,United-States,19
Private,Bachelors,13,Separated,Sales,Own-child,0,0,40,United-States,31
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,0,0,70,United-States,29
Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,0,0,40,United-States,23
