workclass,education,education-num,marital-status,occupation,relationship,capital-gain,capital-loss,hours-per-week,native-country,race
State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,2174,0,40,United-States,White
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,13,United-States,White
Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,0,0,40,United-States,White
Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,Black
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,0,0,40,Cuba,Black
Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,0,0,40,United-States,White
Private,9th,5,Married-spouse-absent,Other-service,Not-in-family,0,0,16,Jamaica,Black
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,45,United-States,White
Private,Masters,14,Never-married,Prof-specialty,Not-in-family,14084,0,50,United-States,White
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,5178,0,40,United-States,White
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,0,80,United-States,Black
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,India,Asian-Pac-Islander
Private,Bachelors,13,Never-married,Adm-clerical,Own-child,0,0,30,United-States,White
Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,0,0,50,United-States,Black
Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,0,0,45,Mexico,Amer-Indian-Eskimo
Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,0,0,35,United-States,White
Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,0,0,40,United-States,White
Private,11th,7,Married-civ-spouse,Sales,Husband,0,0,50,United-States,White
Self-emp-not-inc,Masters,14,Divorced,Exec-managerial,Unmarried,0,0,45,United-States,White
Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,0,0,60,United-States,White
Private,HS-grad,9,Separated,Other-service,Unmarried,0,0,20,United-States,Black
Federal-gov,9th,5,Married-civ-spouse,Farming-fishing,Husband,0,0,40,United-States,Black
Private,11th,7,Married-civ-spouse,Transport-moving,Husband,0,2042,40,United-States,White
Private,HS-grad,9,Divorced,Tech-support,Unmarried,0,0,40,United-States,White
Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,0,0,40,United-States,White
Private,HS-grad,9,Never-married,Craft-repair,Own-child,0,0,40,United-States,White
Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,0,0,80,United-States,White
