workclass,education,education-num,marital-status,occupation,relationship,capital-gain,capital-loss,hours-per-week,native-country,sex
State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,2174,0,40,United-States,Male
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,13,United-States,Male
Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,0,0,40,United-States,Male
Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,0,0,40,Cuba,Female
Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,0,0,40,United-States,Female
Private,9th,5,Married-spouse-absent,Other-service,Not-in-family,0,0,16,Jamaica,Female
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,45,United-States,Male
Private,Masters,14,Never-married,Prof-specialty,Not-in-family,14084,0,50,United-States,Female
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,5178,0,40,United-States,Male
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,0,80,United-States,Male
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,India,Male
Private,Bachelors,13,Never-married,Adm-clerical,Own-child,0,0,30,United-States,Female
Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,0,0,50,United-States,Male
Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,0,0,45,Mexico,Male
Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,0,0,35,United-States,Male
Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,0,0,40,United-States,Male
Private,11th,7,Married-civ-spouse,Sales,Husband,0,0,50,United-States,Male
Self-emp-not-inc,Masters,14,Divorced,Exec-managerial,Unmarried,0,0,45,United-States,Female
Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,0,0,60,United-States,Male
Private,HS-grad,9,Separated,Other-service,Unmarried,0,0,20,United-States,Female
Federal-gov,9th,5,Married-civ-spouse,Farming-fishing,Husband,0,0,40,United-States,Male
Private,11th,7,Married-civ-spouse,Transport-moving,Husband,0,2042,40,United-States,Male
Private,HS-grad,9,Divorced,Tech-support,Unmarried,0,0,40,United-States,Female
Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Never-married,Craft-repair,Own-child,0,0,40,United-States,Male
Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,0,0,80,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Local-gov,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,0,0,52,United-States,Male
Private,Some-college,10,Never-married,Sales,Own-child,0,0,44,United-States,Male
Private,Bachelors,13,Divorced,Exec-managerial,Own-child,0,1408,40,United-States,Male
Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,0,0,40,United-States,Male
State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,0,0,15,United-States,Male
Private,11th,7,Never-married,Machine-op-inspct,Unmarried,0,0,40,Puerto-Rico,Male
Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,0,0,40,United-States,Male
Private,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,0,0,25,United-States,Female
Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,Male
Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,0,0,43,United-States,Male
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,0,0,50,United-States,Male
Private,HS-grad,9,Separated,Adm-clerical,Unmarried,0,0,40,United-States,Female
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,0,0,35,United-States,Male
Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,0,0,38,United-States,Male
Private,Masters,14,Divorced,Exec-managerial,Unmarried,0,0,40,United-States,Female
State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,0,0,43,United-States,Male
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,0,0,40,United-States,Female
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,0,1902,60,Honduras,Female
Federal-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,0,0,55,United-States,Male
Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,0,0,60,United-States,Male
Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,0,0,40,United-States,Male
Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,Mexico,Male
Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,0,0,40,Puerto-Rico,Male
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,0,0,48,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,5013,0,40,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,2407,0,40,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,40,United-States,Male
Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,0,0,45,United-States,Male
