decile1b,decile3,decile1,cluster,lsat,ugpa,zfygpa,DOB_yr,zgpa,fulltime,fam_inc,age,parttime,tier,gender
b'10',b'10',b'10',1.0,44.0,3.5,1.33,69.0,1.88,1.0,5.0,-62.0,0.0,4.0,b'female'
b'05',b'04',b'05',2.0,29.0,3.5,-0.11,69.0,-0.57,1.0,4.0,-62.0,0.0,2.0,b'female'
b'08',b'07',b'08',1.0,37.0,3.4,0.63,68.0,0.37,1.0,3.0,-61.0,0.0,4.0,b'male'
b'08',b'07',b'08',1.0,43.0,3.3,0.67,67.0,0.34,1.0,4.0,-60.0,0.0,4.0,b'female'
b'03',b'02',b'03',4.0,41.0,3.3,-0.67,64.0,-1.3,1.0,4.0,-57.0,0.0,5.0,b'female'
b'01',b'01',b'01',3.0,24.5,2.2,-1.73,66.0,-1.34,1.0,4.0,-59.0,0.0,3.0,b'male'
b'04',b'04',b'04',3.0,34.0,3.3,-0.32,68.0,-0.38,1.0,4.0,-61.0,0.0,3.0,b'female'
b'02',b'03',b'02',2.0,35.0,3.2,-0.92,64.0,-0.72,1.0,4.0,-62.0,0.0,2.0,b'male'
b'05',b'05',b'05',1.0,40.0,2.4,-0.05,56.0,-0.03,1.0,3.0,-49.0,0.0,4.0,b'female'
b'08',b'09',b'08',1.0,35.0,2.9,0.73,62.0,0.94,1.0,3.0,-55.0,0.0,4.0,b'female'
b'03',b'01',b'03',3.0,28.0,2.4,-0.59,53.0,-1.49,1.0,3.0,-46.0,0.0,3.0,b'female'
b'02',b'03',b'03',4.0,32.5,3.2,-0.76,69.0,-0.56,1.0,4.0,-62.0,0.0,5.0,b'female'
b'09',b'09',b'09',6.0,32.5,2.4,1.04,66.0,1.09,1.0,3.0,-59.0,0.0,1.0,b'male'
b'07',b'08',b'08',6.0,23.0,2.8,0.56,64.0,0.87,1.0,3.0,-57.0,0.0,1.0,b'female'
b'04',b'03',b'05',3.0,37.0,2.8,-0.23,69.0,-0.72,1.0,3.0,-62.0,0.0,3.0,b'female'
b'09',b'09',b'09',5.0,41.0,3.9,1.08,64.0,0.88,1.0,3.0,-57.0,0.0,6.0,b'female'
b'03',b'04',b'03',5.0,40.0,2.8,-0.69,65.0,-0.45,1.0,4.0,-58.0,0.0,6.0,b'female'
b'08',b'07',b'08',3.0,30.0,3.3,0.58,68.0,0.53,1.0,4.0,-61.0,0.0,3.0,b'female'
b'08',b'07',b'08',1.0,40.0,3.7,0.67,70.0,0.4,1.0,4.0,-63.0,0.0,4.0,b'male'
